"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ted Hurst III","TB","28.9","389.3","2.6","1.0","6.5","0.0","0.6","68.2"
"Hollywood Brown","PHI","28.3","352.1","3.0","0.0","0.0","0.0","0.1","67.3"
"Elic Ayomanor","TEN","25.4","342.2","3.3","0.0","0.0","0.0","0.0","66.7"
"DeMario Douglas","NE","30.2","365.5","2.0","4.1","21.5","0.2","0.4","66.3"
"Chimere Dike","TEN","27.8","271.1","3.4","10.1","33.6","0.3","0.6","65.2"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","64.6"
"Keon Coleman","BUF","24.4","337.9","2.8","0.0","0.0","0.0","0.2","62.5"
"Joshua Palmer","BUF","26.9","354.7","1.7","0.0","0.0","0.0","0.1","59.0"
"Pat Bryant","DEN","28.4","320.2","2.1","0.0","0.0","0.0","0.3","58.3"
"Ashton Dulin","IND","17.6","338.9","1.3","5.1","46.2","0.1","0.1","55.5"
"Marvin Mims Jr.","DEN","24.1","272.9","1.6","8.2","45.1","0.3","0.4","54.7"
"KaVontae Turpin","DAL","17.9","226.7","1.7","17.8","103.0","0.4","0.4","54.0"
"Kevin Coleman Jr.","MIA","27.1","352.0","0.9","0.0","0.0","0.0","0.3","53.3"
"Zavion Thomas","CHI","23.3","305.0","2.1","1.5","6.5","0.0","1.1","53.3"
"Devontez Walker","BAL","18.2","304.8","2.2","0.0","1.5","0.0","0.1","53.0"
"Darnell Mooney","NYG","21.5","308.4","1.7","2.2","11.9","0.1","0.2","52.8"
"Jack Bech","LV","27.7","315.2","1.2","0.0","0.0","0.0","0.3","51.9"
"Jahdae Walker","CHI","17.6","232.8","2.7","0.5","3.5","0.0","0.0","48.4"
"Demarcus Robinson","SF","19.3","275.9","1.8","0.5","2.5","0.0","0.0","48.2"
"Mack Hollins","NE","21.5","257.8","1.6","0.0","0.0","0.0","0.2","45.8"
"Tank Dell","HOU","19.0","241.5","1.5","4.5","20.0","0.0","0.0","44.7"
"Christian Kirk","SF","21.0","242.5","1.5","0.0","0.0","0.0","0.0","43.8"
"Cyrus Allen","KC","19.4","245.0","1.5","0.0","0.0","0.0","0.2","43.0"
"Luke McCaffrey","WAS","14.3","221.0","2.3","0.0","0.0","0.0","0.0","42.7"
"Kyle Williams","NE","15.9","229.7","1.4","4.1","22.4","0.2","0.2","42.2"
"Theo Wease Jr.","LAC","16.0","233.0","1.3","0.0","0.0","0.0","0.0","39.1"
"Kendrick Bourne","ARI","22.8","239.1","0.7","0.0","0.0","0.0","0.2","38.8"
"Dyami Brown","WAS","15.8","216.5","1.6","0.0","0.0","0.0","0.2","38.7"
"Treylon Burks","WAS","15.0","217.3","1.4","0.0","0.0","0.0","0.1","37.1"
"Kalif Raymond","CHI","19.4","187.5","0.9","4.5","26.8","0.2","0.2","36.9"
"Savion Williams","GB","13.3","148.7","1.1","8.8","46.0","0.4","0.2","34.4"
"Isaiah Bond","CLE","11.4","151.7","0.9","4.3","23.6","0.1","0.2","29.0"
"Skyler Bell","BUF","12.1","163.5","1.0","0.0","0.0","0.0","0.1","27.9"
"Tutu Atwell","LAR","9.7","139.2","0.9","2.3","12.0","0.1","0.1","26.0"
"Olamide Zaccheaus","ATL","14.3","142.3","0.6","0.0","0.0","0.0","0.2","24.8"
"Colbie Young","CIN","10.6","131.2","1.0","0.0","0.0","0.0","0.1","24.2"
"Roman Wilson","PIT","11.8","135.0","0.6","0.0","0.0","0.0","0.1","22.9"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.7"
"Isaiah Williams","NYJ","11.8","114.5","0.4","2.2","12.7","0.1","0.1","21.6"
"Jaylin Lane","WAS","9.3","118.7","0.8","0.0","0.0","0.0","0.1","21.2"
"Elijah Sarratt","BAL","8.3","123.6","0.8","0.0","0.0","0.0","0.1","20.9"
"Odell Beckham Jr.","NYG","9.2","113.1","0.6","0.0","0.0","0.0","0.1","19.3"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.1"
"Jimmy Horn Jr.","CAR","6.6","75.5","0.4","6.2","37.0","0.2","0.1","17.9"
"Jordan Whittington","LAR","7.5","84.7","0.6","2.3","12.1","0.1","0.1","17.6"
"Konata Mumpfield","LAR","6.6","83.7","0.8","0.0","0.0","0.0","0.1","16.1"
"Barion Brown","NO","7.2","91.4","0.4","0.0","0.0","0.0","0.1","15.1"
"Jalen Royals","KC","6.8","78.1","0.6","0.0","0.0","0.0","0.1","14.9"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.6"
"Laquon Treadwell","IND","7.1","78.3","0.4","0.0","0.0","0.0","0.1","13.7"
"Bo Melton","GB","5.1","65.8","0.4","2.2","12.7","0.1","0.1","13.4"
"Tay Martin","DET","3.4","40.7","0.3","4.7","25.7","0.3","0.1","11.5"
"Malachi Corley","CLE","3.4","33.7","0.1","6.4","43.9","0.2","0.1","11.2"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","8.6"
"Dohnte Meyers","CIN","3.7","42.5","0.4","0.0","0.0","0.0","0.0","8.3"
"Xavier Smith","LAR","3.6","44.3","0.3","0.0","0.0","0.0","0.0","8.1"
"Efton Chism III","NE","3.5","42.7","0.3","0.0","0.0","0.0","0.0","7.8"
"Jacob Cowing","SF","3.3","44.1","0.3","0.0","0.0","0.0","0.0","7.7"
"Josh Cameron","JAC","3.2","39.9","0.2","0.0","0.0","0.0","0.0","7.0"
"Tai Felton","MIN","3.7","37.0","0.2","0.0","0.0","0.0","0.0","6.9"
"Jonathan Mingo","DAL","2.9","40.5","0.3","0.0","0.0","0.0","0.0","6.9"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"Reggie Virgil","ARI","3.4","39.2","0.1","0.0","0.0","0.0","0.0","6.4"
"Dareke Young","LV","3.3","38.3","0.1","0.0","0.0","0.0","0.0","6.3"
"Brycen Tremayne","CAR","3.3","36.0","0.2","0.0","0.0","0.0","0.0","6.1"
"Arian Smith","NYJ","0.0","0.0","0.0","4.3","23.7","0.2","0.0","3.5"
"Ben Skowronek","PIT","1.8","16.9","0.1","0.0","0.0","0.0","0.0","3.0"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.1","11.7","0.1","0.0","1.6"
"Braxton Berrios","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gunner Olszewski","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tylan Wallace","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin Austin Jr.","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrell Shavers","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dont'e Thornton Jr.","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
