"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Nicholas Singleton","TEN","22.6","93.8","0.8","3.1","25.6","0.1","0.1","18.5"
"Demond Claiborne","MIN","21.6","96.2","0.7","3.3","25.2","0.1","0.0","18.5"
"Tahj Brooks","CIN","30.3","128.1","0.9","0.0","0.0","0.0","0.1","18.2"
"DJ Giddens","IND","22.3","92.9","0.7","2.6","20.0","0.1","0.0","17.1"
"Rasheen Ali","BAL","13.8","54.5","0.2","5.3","40.7","0.6","0.0","16.9"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.3","0.6","0.0","14.0"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.8","1.1","0.0","12.5"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.7","0.2","0.1","12.4"
"Isaac Guerendo","SF","12.5","61.0","0.5","1.5","14.5","0.0","0.0","11.3"
"Devin Singletary","NYG","17.5","65.0","0.5","0.5","5.0","0.0","0.0","10.3"
"Kene Nwangwu","NYJ","15.5","66.0","0.5","0.0","2.0","0.0","0.0","9.8"
"Bam Knight","ARI","13.0","43.0","0.5","1.5","10.0","0.0","0.0","9.1"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.8","0.2","0.0","8.4"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","8.2"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.5","0.2","0.0","7.4"
"Kaleb Johnson","GB","7.8","33.2","0.3","1.4","10.3","0.1","0.0","7.2"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.2","0.2","0.0","6.0"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.9","0.2","0.0","5.9"
"Patrick Ricard","NYG","0.0","0.0","0.0","3.9","26.8","0.1","0.0","5.4"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"DeeJay Dallas","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jerome Ford","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Neal","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Etienne","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sione Vaki","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
